course_code,title,credits,prerequisites,category,,,,,
COMP1000,COMPUTER SCIENCE I,4,,Major Required,,,,,
COMP1050,COMPUTER SCIENCE II,4,COMP1000|ELEC3150,Major Required,,,,,
COMP1200,COMPUTER ORGANIZATION,4,COMP1000&MATH2300,Major Required,,,,,
COMP2000,DATA STRUCTURES,4,COMP1050&MATH2300,Major Required,,,,,
COMP2350,ALGORITHMS,4,COMP2000,Major Required,,,,,
COMP2650,DATABASES,4,COMP1050&(MATH2300|MATH2800),Major Required,,,,,
COMP4960,SOFTWARE ENGINEERING,4,COMP2000,Major Required,,,,,
COMP3400,OPERATING SYSTEMS,4,COMP1200&COMP2000,Major Required,,,,,
MATH2300,DISCRETE MATHEMATICS,4,,Major Required,,,,,
MATH1776,CALCULUS 1A,2,,Major Required,,,,,
MATH1777,CALCULUS 1B,2,MATH1776,Major Required,,,,,
MATH1876,CALCULUS 2A,2, MATH1777|MATH1750,Major Required,,,,,
MATH1877,CALCULUS 2B,2, MATH1876,Major Required,,,,,
COMP2100,NETWORK PROGRAMMING,4,COMP1050,Major Required,,,,,
MATH2860,LINEAR ALGEBRA & MATRIX THEORY,4,MATH1850|MATH1877,Major Required,,,,,
MATH2100,PROBABILITY & STATISTICS FOR ENGINEERS,4,MATH1877|MATH1875,Major Required,,,,,
COMP3350,PROGRAMMING LANGUAGES,4, COMP2000&COMP2350,Major Required,,,,,
COMP3450,PARALLEL COMPUTING AND DISTRIBUTED COMPUTING,4, COMP2000&COMP2350&COMP2100,Major Required,,,,,
COMP5500,SENIOR PROJECT,4,,Major Required,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
